timestamp,event,label,hour,minute,second,time_diff
2026-03-23 08:00:09,Signal lost,0,8,0,9,0.0
2026-03-23 08:00:13,Low battery,0,8,0,13,4.0
2026-03-23 08:00:15,Low battery,0,8,0,15,2.0
2026-03-23 08:00:16,Stop camera,0,8,0,16,1.0
2026-03-23 08:00:22,Door opened,0,8,0,22,6.0
2026-03-23 08:00:27,Start camera,0,8,0,27,5.0
2026-03-23 08:00:29,Low battery,0,8,0,29,2.0
2026-03-23 08:00:38,Start camera,0,8,0,38,9.0
2026-03-23 08:00:44,Stop camera,0,8,0,44,6.0
2026-03-23 08:00:52,Door opened,0,8,0,52,8.0
2026-03-23 08:00:54,Signal lost,0,8,0,54,2.0
2026-03-23 08:01:03,Stop camera,0,8,1,3,9.0
2026-03-23 08:01:09,Door opened,0,8,1,9,6.0
2026-03-23 08:01:15,Start camera,0,8,1,15,6.0
2026-03-23 08:01:25,Door closed,0,8,1,25,10.0
2026-03-23 08:01:32,Motion detected,0,8,1,32,7.0
2026-03-23 08:01:34,Low battery,0,8,1,34,2.0
2026-03-23 08:01:39,Motion detected,0,8,1,39,5.0
2026-03-23 08:01:40,Door opened,0,8,1,40,1.0
2026-03-23 08:01:47,Start camera,0,8,1,47,7.0
2026-03-23 08:01:53,Door closed,0,8,1,53,6.0
2026-03-23 08:02:01,Signal lost,0,8,2,1,8.0
2026-03-23 08:02:04,Low battery,0,8,2,4,3.0
2026-03-23 08:02:12,Motion detected,0,8,2,12,8.0
2026-03-23 08:02:16,Door closed,0,8,2,16,4.0
2026-03-23 08:02:20,Door opened,0,8,2,20,4.0
2026-03-23 08:02:29,Signal lost,0,8,2,29,9.0
2026-03-23 08:02:35,Motion detected,0,8,2,35,6.0
2026-03-23 08:02:41,Door closed,0,8,2,41,6.0
2026-03-23 08:02:50,Signal lost,0,8,2,50,9.0
2026-03-23 08:02:59,Signal lost,0,8,2,59,9.0
2026-03-23 08:03:09,Signal lost,0,8,3,9,10.0
2026-03-23 08:03:16,Signal lost,0,8,3,16,7.0
2026-03-23 08:03:18,Motion detected,0,8,3,18,2.0
2026-03-23 08:03:27,Start camera,0,8,3,27,9.0
2026-03-23 08:03:36,Motion detected,0,8,3,36,9.0
2026-03-23 08:03:39,Motion detected,0,8,3,39,3.0
2026-03-23 08:03:41,Door opened,0,8,3,41,2.0
2026-03-23 08:03:45,Low battery,0,8,3,45,4.0
2026-03-23 08:03:48,Start camera,0,8,3,48,3.0
2026-03-23 08:03:49,Motion detected,0,8,3,49,1.0
2026-03-23 08:03:53,Signal lost,0,8,3,53,4.0
2026-03-23 08:04:02,Motion detected,0,8,4,2,9.0
2026-03-23 08:04:10,Start camera,0,8,4,10,8.0
2026-03-23 08:04:18,Door closed,0,8,4,18,8.0
2026-03-23 08:04:24,Motion detected,0,8,4,24,6.0
